SMILES,pIC50
COc1cc(OC)cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1,7.259637311
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,6.240332155
Cc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1Br,5
CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,8.096910013
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1,7.552841969
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,7.40560745
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,5.070581074
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,4.698970004
COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1,5
COc1cc2ncc(N[C@H]3CC[C@@H](O)CC3)nc2cc1OC.O=S(=O)([O-])O,5
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n(C(C)C)c1=O,4.301029996
CN1C(=O)NCc2cnc(S(C)=O)nc21,4.301029996
O=C1NCc2cnc(Nc3ccc(N4CCCCC4)cc3)nc2N1C1CCCC1,6.193820026
CCN1C(=O)N(c2cc(OC)cc(OC)c2)Cc2cnc(NCCCN3CCN(C)CC3)nc21,4.301029996
CNc1cccc2[nH]c(=O)c(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c(N)c12,7.823908741
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(N)ccc5[nH]c4=O)nc3c2)CC1,8.15490196
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(N(C)C)ccc5[nH]c4=O)nc3c2)CC1,7.080921908
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(NCc6ccccc6)ccc5[nH]c4=O)nc3c2)CC1,8.096910013
CNc1ccc2c(N)c(-c3nc4cc(N5CCN(C)CC5)ccc4[nH]3)c(=O)[nH]c2c1,6.431798276
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cccc(F)c5[nH]c4=O)nc3c2)CC1,6.721246399
CN1CCN(c2ccc3[nH]c(-c4c(N)c5c(F)cc(F)cc5[nH]c4=O)nc3c2)CC1,7.522878745
CN1CCN(c2ccc3[nH]c(-c4c(N)c5cc(F)c(N(C)C)cc5[nH]c4=O)nc3c2)CC1,5.744727495
COc1cc(OC)cc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)O)c2C)c1,6.283996656
CN(C)CC(=O)N(C)c1ccc2[nH]c(-c3c(N)c4ccccc4[nH]c3=O)nc2c1,8.522878745
CN1CCCN(c2ccc3[nH]c(-c4c(N)c5ccccc5[nH]c4=O)nc3c2)CC1,7.698970004
Cc1ccc2[nH]c(-c3c(N)c4ccccc4[nH]c3=O)nc2c1,7.096910013
Cc1cc2nc(-c3c(N)c4ccccc4[nH]c3=O)[nH]c2cc1C,7.15490196
Nc1c(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c(=O)[nH]c2ccccc12,7.522878745
O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,7.522878745
Nc1c(-c2nc3ccccc3[nH]2)c(=O)[nH]c2ccccc12,7.522878745
O=c1[nH]c2ccccc2c(N[C@@H]2CN3CCC2CC3)c1-c1nc2ccccc2[nH]1,6.721246399
CN1CCN(c2ccc(Nc3ncc4c(n3)N(C3CCCC3)C(=O)NC4)cc2)CC1,7.638272164
O=C1NCc2cnc(Nc3ccc(-n4cccn4)cc3)nc2N1C1CCCC1,4.301029996
O=c1ncc2cnc(Nc3ccc(-n4cccn4)cc3)nc2n1C1CCCC1,4.301029996
COc1ccc(Nc2ncc3cnc(=O)n(C4CCCC4)c3n2)cc1,4.301029996
O=C1NCc2cnc(Nc3ccc(-n4cccc4)cc3)nc2N1C1CCCC1,4.301029996
CSc1ncc2c(n1)N(C1CCCC1)C(=O)NC2,4.301029996
CC(C)N1C(=O)NCc2cnc(Nc3ccc(-n4cccn4)cc3)nc21.O=C(O)C(F)(F)F,4.301029996
CSc1ncc2c(n1)N(C)C(=O)NC2,4.301029996
CN(C)C1CCN(c2ccc(Nc3ncc4c(n3)N(C3CCCC3)C(=O)NC4)cc2)CC1,4.301029996
CSc1ncc2c(n1)N(C1CC3CCC1C3)C(=O)NC2,4.301029996
CC(C)N1C(=O)NCc2cnc(S(C)=O)nc21,4.301029996
CCN1C(=O)N(c2cc(OC)cc(OC)c2Cl)Cc2cnc(S(C)=O)nc21,4.301029996
CCN(CC)CCCCNc1ncc2c(n1)N(CC)C(=O)N(c1cc(OC)cc(OC)c1Cl)C2,4.301029996
COc1cc(OC)cc(N2Cc3cnc(SC)nc3NC2=O)c1,4.301029996
CCN1C(=O)N(c2cc(OC)cc(OC)c2)Cc2cnc(SC)nc21,4.301029996
CCN(CC)CCCCNc1ncc2c(n1)N(CC)C(=O)N(c1cc(OC)cc(OC)c1)C2,7.22184875
CCN1C(=O)N(c2cc(OC)cc(OC)c2)Cc2cnc(NCCCCN3CCN(C)CC3)nc21,4.301029996
CCN1C(=O)N(c2cc(OC)cc(OC)c2)Cc2cnc(NCCCCCN3CCN(C)CC3)nc21,4.301029996
